#,ELO,Player,Clan,Streak,Percent,Games,Last game
315,"1,633",keys botto lamer,JAPAN,"'-3",55.93%,177,5/5/2026
316,"1,632",CHAMP,"'-",7,63.06%,111,4/18/2026
317,"1,631",houseki,ALGAE,1,53.86%,505,5/6/2026
318,"1,630",release the lamer,"'-",5,89.29%,28,5/8/2026
319,"1,630",despite,"'-",1,53.43%,496,4/26/2026
320,"1,630",karbonat erol,Tur4n,1,50.86%,"2,428",5/10/2026
321,"1,630",alexgordonblue,"'-",2,50.63%,"5,185",4/25/2026
322,"1,627",Harfangueran,PFW,"'-1",51.54%,"1,135",5/10/2026
323,"1,627",Cezz33qq,"'-",1,67.11%,76,4/13/2026
324,"1,626",balrog,"'-","'-1",50.62%,"4,346",5/10/2026
325,"1,623",D,"'-",1,50.43%,"3,456",5/5/2026
326,"1,622",wuyu,"'-",1,51.70%,"1,474",4/21/2026
327,"1,621",Roberto,CHIMÚ,"'-3",55.72%,463,4/13/2026
328,"1,620",lenovoonne,GRAL,"'-1",55.67%,564,4/26/2026
329,"1,619",InfiniteIndia,今WAR,"'-4",51.48%,"1,249",5/10/2026
330,"1,618",dzhockeyx44x,"'-",2,67.16%,67,4/27/2026
331,"1,618",Skull Knight™,3WW,1,50.10%,"5,341",5/6/2026
332,"1,617",hombit,opGG,"'-3",53.38%,532,5/10/2026
333,"1,617",AKIRA,KAIZN,"'-1",51.23%,"2,077",5/10/2026
334,"1,616",[Thunder Tiger],ELKO,1,53.08%,"1,119",4/16/2026
335,"1,616",半盒铁套,"'-",3,53.63%,606,5/10/2026
336,"1,615",HamsterBoy,ANGLR,1,51.24%,"1,647",5/6/2026
337,"1,615",Caldi155,"'-","'-1",54.81%,270,5/5/2026
338,"1,614",屑月月,ZYY,4,77.05%,61,5/4/2026
339,"1,614",farran34,WYMAD,1,50.76%,"1,767",5/10/2026
340,"1,613",三阶段黑妹,"'-",1,51.30%,"1,774",5/10/2026
341,"1,613",黄小妖,"'-",6,50.78%,"2,180",5/10/2026
342,"1,612",Twitch_iamxage,TcP,1,50.42%,"6,190",4/21/2026
343,"1,611",Tbag,"'-",5,55.87%,213,5/6/2026
344,"1,611",Cavistr,"'-",3,50.74%,"1,683",4/17/2026
345,"1,611",DengleDaddySWAG,DENGL,1,50.51%,"2,952",5/9/2026
346,"1,610",DEHCC,"'-","'-2",51.36%,"1,398",5/1/2026
347,"1,610",ProfoundlyAutistic,"'-",1,51.33%,"1,621",5/3/2026
348,"1,610",EDJEP1992,"'-",2,50.49%,"3,036",5/10/2026
349,"1,609",Yoshino,"'-",1,71.15%,52,4/17/2026
350,"1,608",MFD,Bayer,4,51.74%,831,5/7/2026
351,"1,608",雨生百谷 春雨归如油,"'-","'-1",50.87%,"1,962",5/9/2026
352,"1,607",小漫团,AOTDE,"'-1",55.50%,200,5/3/2026
353,"1,607",无深色 只有黑化肥会挥,AOTDE,2,50.43%,"5,114",5/8/2026
354,"1,606",Nihaar57,RVOLT,"'-2",51.59%,973,5/9/2026
355,"1,606",The Bismarck_✟,3WW,"'-1",53.30%,636,5/5/2026
356,"1,605",your wife is leaking my s-per-m,"'-",2,51.39%,829,5/10/2026
357,"1,605",cesaracri,AERD,"'-4",50.32%,"4,100",5/10/2026
358,"1,604",Madonna,Nebbz,2,50.10%,"5,898",5/6/2026
359,"1,604",Granjero,"'-",6,51.28%,"1,326",5/10/2026
360,"1,603",m0s,ггплз,1,54.91%,346,4/24/2026
361,"1,601",冲冲,AOTDE,1,51.92%,676,5/9/2026
362,"1,600",Nighto,RøyaL,4,63.96%,111,5/9/2026
363,"1,600",Treple,"'-",2,53.77%,398,5/10/2026
364,"1,599",DogSoldier_,"'-","'-1",80.00%,35,5/8/2026
